time_s,phi_mid,rho,power,fuel_mid,graphite_mid,core_inlet,core_outlet,hx1_hot_outlet,hx1_cold_outlet,hx2_hot_outlet,hx2_cold_outlet,brayton_return
92,0.00870773742308957,0,9829736.701249465,896.3871102442511,1568.466021198872,881.8831858829191,909.3064154043905,881.9776822407952,909.0522553035836,849.5136039836617,909.1372155506597,865.3509499869519
93,0.008707656254355078,0,9829413.117191426,896.4048825458001,1568.4990927085,881.9017366444052,909.3233706177375,881.9970997708082,909.0654059868342,849.5200022429441,909.1411262270939,865.3534246207795
94,0.008707574245715374,0,9829087.912225688,896.4228280695152,1568.532067625927,881.9204625625086,909.3404976336167,882.0166879514902,909.0787443946124,849.5264973421422,909.1452367504079,865.3560851105105
95,0.008707491388500254,0,9828761.080344925,896.4409459360246,1568.564946331683,881.9393627355541,909.3577955984703,882.0364458826114,909.0922697188253,849.533089220378,909.1495466013035,865.3589310085663
96,0.008707407681903348,0,9828432.62444159,896.4592352674767,1568.597729203876,881.9584362620618,909.3752636575781,882.0563726643663,909.1059811495402,849.5397778133261,909.1540552553899,865.3619618626033
97,0.008707323136281886,0,9828102.560015494,896.4776951893052,1568.630416620243,881.9776822407952,909.3929009563027,882.0764673974178,909.1198778750655,849.5465630532269,909.1587621832206,865.365177215568
98,0.008707237771429621,0,9827770.913202532,896.496324831245,1568.663008959877,881.9970997708082,909.4107066418013,882.0967291829376,909.133959081955,849.5534448689002,909.1636668503526,865.3685766057212
99,0.008707151610273745,0,9827437.713644451,896.5151233268264,1568.695506603796,882.0166879514902,909.4286798646638,882.117157122649,909.1482239549806,849.5604231857626,909.168768717425,865.3721595666442
100,0.008707064672826451,0,9827102.987660667,896.5340898116236,1568.727909934405,882.0364458826114,909.4468197799197,882.1377503188677,909.1626716771334,849.5674979258506,909.1740672402498,865.3759256272363
101,0.00870697697412836,0,9826766.755938565,896.5532234213573,1568.760219334589,882.0563726643663,909.4651255471275,882.1585078745412,909.1773014297053,849.5746690078442,909.1795618699077,865.3798743117165
102,0.008706888525031511,0,9826429.03443205,896.5725232906892,1568.792435186945,882.0764673974178,909.4835963295868,882.1794288932891,909.1921123924911,849.5819363470932,909.185252052846,865.3840051396381
103,0.008706799332511252,0,9826089.834725192,896.5919885527086,1568.82455787307,882.0967291829376,909.5022312928822,882.2005124794417,909.2071037441073,849.5892998556452,909.1911372309689,865.3883176259224
104,0.008706709398333911,0,9825749.162537534,896.6116183386264,1568.856587772621,882.117157122649,909.5210296030471,882.2217577380793,909.2222746623795,849.5967594422716,909.197216841724,865.3928112809127
105,0.008706618717630652,0,9825407.016123988,896.6314117774034,1568.888525262101,882.1377503188677,909.5399904246967,882.243163775069,909.2376243247305,849.604315012495,909.2034903181826,865.3974856104469
106,0.008706527279435643,0,9825063.386892458,896.6513679955434,1568.920370713763,882.1585078745412,909.5591129194985,882.2647296971045,909.2531519084899,849.6119664686138,909.2099570891199,865.4023401159399
107,0.008706435069649776,0,9824718.262755847,896.6714861174574,1568.952124495044,882.1794288932891,909.5783962452684,882.2864546117416,909.2688565910779,849.6197137097255,909.2166165790971,865.4073742944718
108,0.008706342074882464,0,9824371.632468108,896.6917652665092,1568.983786968716,882.2005124794417,909.5978395557966,882.3083376274367,909.2847375500351,849.6275566317499,909.2234682085546,865.4125876388779
109,0.008706248285087112,0,9824023.488591233,896.7122045663767,1569.015358493504,882.2217577380793,909.6174420013296,882.3303778535832,909.3007939628998,849.6354951274504,909.2305113939142,865.4179796378311
110,0.008706153694182449,0,9823673.828184817,896.7328031421916,1569.046839424828,882.243163775069,909.6372027295486,882.3525744005484,909.3170250069675,849.6435290864544,909.2377455476964,865.4235497759207
111,0.008706058299318097,0,9823322.65196606,896.7535601211331,1569.078230115404,882.2647296971045,909.6571208868488,882.3749263797104,909.333429858984,849.651658395275,909.2451700786437,865.4292975337271
