z,phi,C1,C2,C3,C4,C5,C6,fuel_temp,graphite_temp
63.13924050632912,0.008030226269051659,1.283809785959428e-07,1.836717779642282e-07,4.87664242956897e-08,3.94907496157644e-08,3.78335410742267e-09,1.269945725314781e-09,889.958770606455,1518.061899900838
65.31645569620254,0.008151704075314941,1.291843025980408e-07,1.863768460032183e-07,5.085248924195614e-08,4.119834692504161e-08,3.889738111727613e-09,1.295750678084093e-09,890.4537068388447,1527.047778808508
67.49367088607595,0.00826169431721111,1.299983141709389e-07,1.891126740104185e-07,5.294132355827266e-08,4.28843967030707e-08,3.990738798812453e-09,1.319616478700359e-09,890.9545419268671,1535.105361885136
69.67088607594937,0.008360034550365995,1.308215377117936e-07,1.918741118132726e-07,5.502868890123351e-08,4.454507405867495e-08,4.086168787894541e-09,1.341514113254718e-09,891.4605416873683,1542.226403401732
71.84810126582279,0.008446575618497341,1.316524900374525e-07,1.946559949557888e-07,5.711038252120622e-08,4.61766548238297e-08,4.175856116642468e-09,1.361417857735014e-09,891.9709673590172,1548.404049112603
74.0253164556962,0.008521182080442901,1.324896825585183e-07,1.974531522116258e-07,5.918224294760718e-08,4.777551886697927e-08,4.259643703090902e-09,1.379305231568736e-09,892.485076670807,1553.632835480524
76.20253164556962,0.008583732666729273,1.333316234465245e-07,2.002604130562277e-07,6.12401555781926e-08,4.933815328092118e-08,4.337388864415389e-09,1.395156959915945e-09,893.0021248551221,1557.908688128536
78.37974683544304,0.008634120761126862,1.341768197928672e-07,2.030726150934566e-07,6.328005816988054e-08,5.086115544528821e-08,4.408962885613833e-09,1.408956942426221e-09,893.5213656442047,1561.228919409342
80.55696202531645,0.008672254901907896,1.350237797579368e-07,2.058846114314801e-07,6.529794622806497e-08,5.234123596301624e-08,4.474250631793669e-09,1.42069222660019e-09,894.0420522811519,1563.592224959196
82.73417721518987,0.008698059296845272,1.358710147086544e-07,2.086912780018697e-07,6.728987829074521e-08,5.377522146946363e-08,4.533150198327353e-09,1.430352984221736e-09,894.563438560837,1564.998679082567
84.9113924050633,0.008711474345372944,1.367170413423594e-07,2.114875208149756e-07,6.9251981103088e-08,5.516005731206673e-08,4.585572593626388e-09,1.437932489574655e-09,895.0847798999026,1565.449728796171
87.08860759493672,0.008712457160785227,1.375603837947086e-07,2.14268283143682e-07,7.118045467728413e-08,5.649281009759693e-08,4.631441449707325e-09,1.44342709834594e-09,895.6053344235944,1564.94818634759
89.26582278481013,0.008700982084894305,1.383995757289521e-07,2.170285526266453e-07,7.307157723177702e-08,5.777067010324854e-08,4.670692756092317e-09,1.446836226261632e-09,896.1243640528417,1563.498220014603
91.44303797468355,0.008677041187205631,1.39233162403649e-07,2.197633682810885e-07,7.492171000314742e-08,5.899095354695821e-08,4.703274612911917e-09,1.44816232661206e-09,896.641135576861,1561.105342986399
93.62025316455697,0.008640644740418653,1.400597027155803e-07,2.224678274142073e-07,7.672730192315806e-08,6.015110471155637e-08,4.729146999367435e-09,1.447410865910576e-09,897.1549217020867,1557.776400128079
95.79746835443038,0.00859182166392701,1.408777712143271e-07,2.251370924212538e-07,7.848489415271696e-08,6.124869791660516e-08,4.748281553972473e-09,1.444590297000986e-09,897.665002074467,1553.519552435238
97.9746835443038,0.008530619926985946,1.416859600846996e-07,2.277663974574354e-07,8.019112446383107e-08,6.228143933110624e-08,4.760661363235418e-09,1.439712028989682e-09,898.170664276828,1548.344258995431
100.1518987341772,0.008457106903341853,1.42482881092956e-07,2.303510549699219e-07,8.184273146001289e-08,6.324716861968958e-08,4.766280755673081e-09,1.432790393433585e-09,898.6712048050256,1542.261256288717
102.3291139240506,0.008371369669384862,1.432671674925231e-07,2.32886462075528e-07,8.343655862509658e-08,6.414386041444064e-08,4.765145098266095e-09,1.423842606268016e-09,899.1659300261201,1535.282534680179
104.5063291139241,0.008273515238292048,1.440374758847546e-07,2.353681067690427e-07,8.496955819003191e-08,6.496962560420862e-08,4.757270592683823e-09,1.41288872501226e-09,899.6541571196989,1527.421311982185
106.6835443037975,0.00816367072317609,1.447924880301277e-07,2.377915739467528e-07,8.643879480697843e-08,6.57227124330792e-08,4.742684068824667e-09,1.399951600846834e-09,900.1352150009172,1518.692003994458
