time_s,phi_mid,rho,power,fuel_mid,graphite_mid,core_inlet,core_outlet,hx1_hot_outlet,hx1_cold_outlet,hx2_hot_outlet,hx2_cold_outlet,brayton_return
435,0.008591533280705953,0.0025,1580.244429356587,1768.39123525734,2854.515078987028,1138.568633953503,2051.718044115901,1133.072023949883,2124.523914785225,1626.792690919828,2296.96975171169,2162.097600830119
436,0.00996606596833912,0.0025,1832.115631401963,1765.834611928011,2852.00009192684,1137.446647358741,2048.552293814346,1132.008612555562,2121.261642802497,1623.664668575461,2292.539242927234,2157.786333342502
437,0.01132140447432703,0.0025,2080.213187574112,1763.289282881321,2849.48507664525,1136.335545752597,2045.394659885256,1130.957854334491,2117.98869189787,1620.594064813673,2288.146680470884,2153.523160590586
438,0.01179833610224387,0.0025,2166.753868633604,1760.755977612717,2846.970025040885,1135.235810127504,2042.246311333352,1129.919934081272,2114.706846861851,1617.578777156052,2283.790281207875,2149.305381921349
439,0.01071735611498278,0.0025,1967.254857922002,1758.235327982704,2844.454903414303,1134.147853160244,2039.108295130127,1128.89498997043,2111.417823822529,1614.616760458026,2279.468413407019,2145.130505092977
440,0.008703284575328858,0.0025,1596.772897708101,1755.727931746062,2841.939704563883,1133.072023949883,2035.981532561452,1127.883117304652,2108.123268327447,1611.70602824636,2275.179586299183,2140.996233359832
441,0.006854034367885047,0.0025,1256.886372945649,1753.234365276637,2839.424466594441,1132.008612555562,2032.866837155185,1126.884372071879,2104.8247546595,1608.844653712853,2270.922440262446,2136.900453095193
442,0.005631568419037091,0.0025,1032.218078427602,1750.755135697295,2836.909247263412,1130.957854334491,2029.76495002322,1125.898774314948,2101.523785542302,1606.030770393429,2266.69573750609,2132.841221882698
443,0.005016281115026971,0.0025,919.0067294984642,1748.290654064133,2834.394104470784,1129.919934081272,2026.67656348551,1124.926311318003,2098.221791474713,1603.26257255936,2262.498353152585,2128.816757087997
444,0.004840250150738331,0.0025,886.3426098959094,1745.841246192413,2831.87909011185,1128.89498997043,2023.602323790194,1123.966940614309,2094.920129600126,1600.538315346299,2258.329266701935,2124.825425003397
445,0.004925126438060737,0.0025,901.4685084163445,1743.407171690793,2829.364249499985,1127.883117304652,2020.542818022627,1123.020592820441,2091.620083358676,1597.856314646374,2254.18755391618,2120.865730637128
